Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Taxi Driver,(1976),114 min,8.2,94        ,"876,964",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
1917,(2019),119 min,8.2,78        ,"634,258",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Snatch,(2000),102 min,8.2,55        ,"881,399",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Kill Bill: Vol. 1,(2003),111 min,8.2,69        ,"1,151,401",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
The Thing,(1982),109 min,8.2,57        ,"443,923",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Die Hard,(1988),132 min,8.2,72        ,"908,377",$83.01M,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Casino,(1995),178 min,8.2,73        ,"541,247",$42.44M,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
Green Book,(2018),130 min,8.2,69        ,"529,031",$85.08M,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
The Sixth Sense,(1999),107 min,8.2,64        ,"1,019,086",$293.51M,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
A Beautiful Mind,(2001),135 min,8.2,72        ,"957,985",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
Howl's Moving Castle,(2004),119 min,8.2,82        ,"419,389",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Finding Nemo,(2003),100 min,8.2,90        ,"1,077,189",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
L.A. Confidential,(1997),138 min,8.2,91        ,"598,066",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
V for Vendetta,(2005),132 min,8.2,62        ,"1,148,759",$70.51M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
The Father,(I) (2020),97 min,8.2,88        ,"174,151",#132,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
Downfall,(2004),156 min,8.2,82        ,"365,136",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Pan's Labyrinth,(2006),118 min,8.2,98        ,"685,625",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Chinatown,(1974),130 min,8.2,92        ,"337,716",#157,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
Gone with the Wind,(1939),238 min,8.2,97        ,"325,005",$198.68M,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
Unforgiven,(1992),130 min,8.2,85        ,"424,191",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
Monty Python and the Holy Grail,(1975),91 min,8.2,91        ,"555,931",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
The Great Escape,(1963),172 min,8.2,86        ,"251,576",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
The Elephant Man,(1980),124 min,8.2,78        ,"250,289",#156,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
Some Like It Hot,(1959),121 min,8.2,98        ,"275,388",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
For a Few Dollars More,(1965),132 min,8.2,74        ,"265,428",$15.00M,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
The Secret in Their Eyes,(2009),129 min,8.2,80        ,"215,861",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
Ran,(1985),162 min,8.2,97        ,"130,835",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Tumbbad,(2018),104 min,8.2,0,"54,285",0,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
Demon Slayer the Movie: Mugen Train,(2020),117 min,8.2,72        ,"66,658",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Dial M for Murder,(1954),105 min,8.2,75        ,"182,479",$0.01M,A former tennis star arranges the murder of his adulterous wife.
Drishyam 2,(2022),140 min,8.2,0,"39,108",0,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
Klaus,(2019),96 min,8.2,65        ,"169,663",#177,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
To Be or Not to Be,(1942),99 min,8.2,86        ,"40,374",#231,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
All About Eve,(1950),138 min,8.2,98        ,"135,106",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Gangs of Wasseypur,(2012),321 min,8.2,89        ,"100,106",0,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
Rashomon,(1950),88 min,8.2,98        ,"174,431",$0.10M,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
The Wages of Fear,(1953),131 min,8.2,85        ,"63,870",#196,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Tokyo Story,(1953),136 min,8.2,100        ,"65,056",#209,"An old couple visit their children and grandchildren in the city, but receive little attention."
Miracle in Cell No. 7,(2019),132 min,8.2,0,"52,498",0,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).
Yojimbo,(1961),110 min,8.2,93        ,"127,138",#148,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Drishyam,(2015),163 min,8.2,0,"89,736",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Z,(1969),127 min,8.2,86        ,"30,291",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
Zindagi Na Milegi Dobara,(2011),155 min,8.2,0,"82,391",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
Children of Heaven,(1997),89 min,8.2,77        ,"77,667",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
The Treasure of the Sierra Madre,(1948),126 min,8.2,98        ,"129,068",$5.01M,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Andhadhun,(2018),139 min,8.2,0,"98,237",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Pather Panchali,(1955),125 min,8.2,0,"35,812",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
Swades,(2004),189 min,8.2,0,"94,306",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
K.G.F: Chapter 1,(2018),156 min,8.2,0,"92,893",0,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F."
Baahubali 2: The Conclusion,(2017),167 min,8.2,0,"108,440",$20.19M,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne."
The Passion of Joan of Arc,(1928),114 min,8.2,98        ,"58,024",$0.02M,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
