Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Like Stars on Earth,(2007),165 min,8.3,0,"200,170",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Bicycle Thieves,(1948),89 min,8.3,0,"169,277",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
K.G.F: Chapter 2,(2022),168 min,8.3,0,"141,482",$6.60M,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
Ayla: The Daughter of War,(2017),125 min,8.3,0,"42,082",0,"Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind."
Vikram,(2022),175 min,8.3,0,"65,117",0,"A special investigator assigned a case of serial killings discovers the case is not what it seems to be, and leading down this path is only going to end in a war between everyone involved."
The Kid,(1921),68 min,8.3,0,"130,623",$5.45M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
Chhichhore,(2019),143 min,8.3,0,"59,012",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
Shershaah,(2021),135 min,8.3,0,"125,812",0,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
Raatchasan,(2018),170 min,8.3,0,"47,646",0,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
Drishyam,(2013),160 min,8.3,0,"42,896",0,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,489,491",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Batman Begins,(2005),140 min,8.2,70        ,"1,522,682",$206.85M,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
Spider-Man: No Way Home,(2021),148 min,8.2,71        ,"820,045",$804.75M,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
No Country for Old Men,(2007),122 min,8.2,92        ,"1,014,525",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        ,"787,072",$197.17M,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
Shutter Island,(2010),138 min,8.2,63        ,"1,382,245",$128.01M,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
Jurassic Park,(1993),127 min,8.2,68        ,"1,026,800",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
There Will Be Blood,(2007),158 min,8.2,93        ,"612,949",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
The Truman Show,(1998),103 min,8.2,90        ,"1,134,590",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.
